"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"ZWCDPC1","197802","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197803","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197804","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197805","3","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197806","50","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197807","130","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197808","146","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197809","2","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197810","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197811","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197812","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197813","332","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197901","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197902","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197903","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197904","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197905","12","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197906","42","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197907","203","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197908","119","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197909","13","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197910","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197911","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197912","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","197913","390","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198001","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198002","0","1","Cooling Degree-Days, New England","Number"
"ZWCDPC1","198003","0","1","Cooling Degree-Days, New England","Number"
